,Company Name,Description,Employees,Type,Location,Followers
0,Data Analytics company,Connecting the world's professionals to make them more productive and successful.,2-10,Business Intelligence Platforms,"New Delhi, Delhi",173
1,Data Science Central,"Industry's leading online resource and community for data practitioners, covering Machine Learning, AI, Data Science.",2-10,Book and Periodical Publishing,"Issaquah, WA",274K
2,data.world,The Enterprise Data Catalog Platform,51-200,Software Development,"Austin, Texas",20K
3,Data BI LLC,From building a custom dashboard to setting up data analytics in your organization from scratch. we handle your data.,2-10,Data Infrastructure and Analytics,"Sheridan, Wyoming",7K
4,Data Dynamics,Embedding Trust & Democracy in enterprise data management with ZUBIN - AI-powered self-service data management software.,51-200,Software Development,"Upper Saddle River, New Jersey",7K
5,"Data Analytics Ventures, Inc.","An affiliate of JG Summit Holdings,Inc., DAVI provides data products and solutions that impact the future of business.",51-200,IT Services and IT Consulting,"Pasig City, NCR",4K
6,Analytics Saves at Work,We make data work for you,11-50,"Technology, Information and Internet","Bengaluru, Karnataka",41K
7,Data Semantics,Better Insights Smarter Decisions,201-500,Information Technology & Services,Dubai,28K
8,Data Template,Technology | Value,201-500,IT Services and IT Consulting,"Bangalore, Karnataka",12K
9,Data Science as a Service (DSaaS),info@actionx.com.au,2-10,IT Services and IT Consulting,"Macquarie Park, NSW",2K
10,Data Culture,Data Culture helps organizations to solve problems using data and build lasting data culture. Join our community!,11-50,Business Consulting and Services,"New York, NY",3K
11,Data Pilot,Helping businesses put data to work. 💡,11-50,IT Services and IT Consulting,"Lahore, Punjab",10K
12,Data Talks,More Supporters. Superior Sales. Real Revenue.,11-50,Software Development,Stockholm,6K
13,Data Gyan,Data Gyan is No.1Data Science & Data Analytics Training institute in India by Placement Record!,2-10,Education Administration Programs,"Bengaluru, Karnataka",5K
14,The Data Shed,"It’s our mission to demystify the world of data and level the playing field, so everyone can play.",51-200,IT Services and IT Consulting,Leeds,6K
15,The Data Labs,We take your data and help you reduce costs and increase profits. #DataEngineering #DataScience #DataInfra #DataCloud,201-500,IT Services and IT Consulting,"Bangalore, Karnataka",4K
16,Data Reply UK,Data&Analytics @Scale | AI | Strategy | Innovation | From embryonic ideas to enterprise solutions,11-50,IT Services and IT Consulting,"London, London",4K
17,Data Masters,Be the Master of your Data!,11-50,IT Services and IT Consulting,"Skopje, Skopje",5K
18,Data Science Internship,"Data is Power, Information is Wealth!",,Data Infrastructure and Analytics,Pune,4K
19,Data Analytics,Helping companies with digital transformation!,2-10,Information Technology & Services,"Boulder, Colorado",19K
20,X-Byte Analytics - Data Analytics Company,Transforming Businesses with Data Analytics Services & Solutions,201-500,Data Infrastructure and Analytics,"Atlanta , GA",726
21,Data POEM,Connected Intelligence Platform powered by Causal AI for data-driven decision making.,51-200,Advertising Services,"Santa Clara, California",21K
22,Analytics Drift,Deciphering Technology,11-50,Internet News,"Bengaluru, Karnataka",17K
23,Data Capture Experts,Advancing Connected Healthcare with DC2Vue,51-200,Software Development,"Melbourne, VIC",15K
24,Data Science Talent,,11-50,Staffing and Recruiting,"Stone, England",24K
25,Data Labs - LANDMARK GROUP,RETAIL ANALYTICS,,Retail,"Bangalore, Karnataka",12K
26,Data Science UA,We implement AI solutions | AI consulting | Open AI R&D centers worldwide | IT recruitment worldwide,51-200,IT Services and IT Consulting,"London, England",5K
27,Data Software Pvt Ltd (DSPL),Empowering Data-driven Innovations: Unlocking the Potential of Data with Powered By DSPL,201-500,IT System Custom Software Development,"Bengaluru, karnataka India",5K
28,Daten|Clinical Data Analytics company,داده، تحلیل، نظارت,2-10,Data Infrastructure and Analytics,"Tehran, Tehran",772
29,Unisys,,,IT Services and IT Consulting,"Blue Bell, Pennsylvania",607K
30,WNS,,,Business Consulting and Services,New York,1
31,Devon Energy,Devon Energy is a leading oil and gas producer in the U.S. with a premier multi-basin portfolio. NYSE: DVN,1K-5K,Oil and Gas,"Oklahoma City, Oklahoma",273K
32,Experian,Powering Opportunities,,Information Services,"Costa Mesa, CA",1
33,Sutherland,We are a leading global business and digital transformation partner. We work with iconic brands worldwide.,,IT Services and IT Consulting,"Pittsford (Rochester), NY",841K
34,GroupM,,,Advertising Services,New York,613K
35,Citrix,"A Business Unit of Cloud Software Group. Empowering companies to deploy secure, remote apps & desktops at any scale.",5K-10K,Software Development,"Fort Lauderdale, FL",560K
36,Carnival Cruise Line,,,Travel Arrangements,"Miami, Florida",532K
37,ABB,Helping industries outrun with our leading technologies in electrification and automation. go.abb/outrun,,Automation Machinery Manufacturing,"Zurich, ZH",4
38,Domino's,The Worldwide Leader in Pizza Delivery,,Restaurants,"Ann Arbor, MI",436K
39,FICO,FICO is an analytics company helping businesses make better decisions that drive higher levels of growth and success.,1K-5K,Software Development,"Bozeman, Montana",430K
40,TD SYNNEX North America,,,IT Services and IT Consulting,"Clearwater, Florida",258K
41,Mu Sigma Inc.,Do The Math,1K-5K,Business Consulting and Services,"Northbrook, IL",203K
42,Equifax,,,Financial Services,"Atlanta, GA",230K
43,McGraw Hill,Find your path to what’s possible.,1K-5K,Education Administration Programs,"New York, NY",330K
44,Starcom,,5K-10K,Advertising Services,"Chicago, IL",267K
45,ManTech,Securing the Future,5K-10K,IT Services and IT Consulting,"Herndon, Virginia",161K
46,Harte Hanks,We are The Customer Company.,1K-5K,Advertising Services,"Chelmsford, MA",80K
47,Acxiom,Marketing Made Better,1K-5K,Advertising Services,"Conway, Arkansas",67K
48,Quad,,,Advertising Services,"Sussex, Wisconsin",67K
49,R Systems,"R Systems is a global leader in technology, data & AI/analytics services, delivering AI-driven solutions for clients.",1K-5K,IT Services and IT Consulting,"El Dorado Hills, California",142K
50,IPsoft,Decision AI - Meet Compliance with Model Transparency to Deliver Business Outcomes,51-200,IT Services and IT Consulting,"New York, NY",154K
51,Project One,We are now Eliassen Group.,1K-5K,Staffing and Recruiting,"Reading, Massachusetts",66K
52,SAP BusinessObjects,,,Software Development,"Newtown Square, Pennsylvania",28K
53,"Oranks Infotech - ORM, SEO, Web Development and Data Analytics Company in India","The Science of Online Image Management | Award Winning Agency SEO, ORM Company in Delhi, India.",11-50,Advertising Services,"noida, uttar Pradesh",335
54,Horizon Media,Business is Personal,1K-5K,Advertising Services,"New York, New York",125K
55,Docusign,Bringing Agreements to Life,5K-10K,Software Development,"San Francisco, CA",490K
56,GE HealthCare,,,Hospitals and Health Care,Chicago,2
57,IQVIA,Accelerate innovation for a healthier world.,,Hospitals and Health Care,"Durham, North Carolina",2
58,Carat,Designing for People.,5K-10K,Advertising Services,"London, England",196K
59,Zimmer Biomet,Moving You Forward.,,Medical Equipment Manufacturing,"Warsaw, Indiana",480K
60,3i Infotech Ltd.,,5K-10K,IT Services and IT Consulting,"Navi Mumbai, Maharashtra",324K
61,Randstad Digital Americas,your talent-first digital enablement partner,,IT Services and IT Consulting,"Atlanta, GA",185K
62,TIVIT,Conectando tecnologia para um mundo melhor. 🚀,5K-10K,IT Services and IT Consulting,São Paulo,437K
63,Atos,Advancing what matters,,IT Services and IT Consulting,95877 Bezons,2
64,eClerx,"Innovation partner of choice for technology, data analytics, and process management services.",,Information Technology & Services,"Mumbai, Maharashtra",350K
65,Datacom,Customer focused values. World-class capability.,5K-10K,IT Services and IT Consulting,"Auckland, Auckland",225K
66,IGT Solutions,Enabling Better Experience,,IT Services and IT Consulting,"Gurugram, Haryana",936K
67,Mosaic North America,We build brands in dimension. Nous bâtissons des marques multidimensionnelles.,5K-10K,Advertising Services,"Chicago, Illinois",181K
68,Ciklum,We develop Digital Solutions for Fortune 500 and fast-growing organisations alike around the world.,1K-5K,IT Services and IT Consulting,"London, England",150K
69,Trimble Inc.,Trimble technology is transforming critical industries to power an interconnected world of work.,,Software Development,"Westminster, CO",281K
70,Nielsen,Powering a better media future for all people,,Software Development,"New York, NY",1
71,HP Autonomy,,,Software Development,"Cambridge, Cambridgeshire",23K
72,iProspect,Brands Accelerated,5K-10K,Advertising Services,London,203K
73,CRISIL Limited,"CRISIL is a leading, agile & innovative global analytics company driven by its mission of making markets function better",1K-5K,Financial Services,"Mumbai, Maharashtra",584K
